Designator,Footprint,Quantity,Value,LCSC Part #
"12V_INPUT1, MOTOR1",TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,2,~,
"C1, C2",C_0805,2,4.7uF,C1779
C10,C_0603,1,47pF,C1671
"C11, C15, C16, C17",C_0402,4,100nF,C1525
"C12, C13",C_0805,2,47uF,C16780
C18,C_0603,1,10uF,C19702
"C3, C4",C_0402,2,10nF,C15195
"C5, C6, C7",C_0603,3,100pF,C14858
C8,CP_Radial_D5.0mm_P2.00mm,1,100uF,
C9,C_0603,1,1nF,C1588
D1,D_SMA,1,SS34,C8678
D2,D_0603,1,Red,C2286
D3,D_SMA,1,SMAJ24A,C19077541
I2C_PORT,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,~,
J1,TYPE-C-SMD_HX-TYPE-C-16PIN,1,"Connector, USB-TYPE-C-16P",C2927039
J2,PinHeader_1x08_P2.00mm_Vertical,1,Conn_01x08,
L1,"L_SMD,12.3x12.3mm",1,6.8uH,C10149
MONITOR_POWER,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,~,
"R1, R2",R_0603,2,3.3kΩ,C22978
R10,R_0603,1,7.5kΩ,C23234
R11,R_0603,1,2.4kΩ,C22940
R16,R_0603,1,240Ω,C23350
"R17, R5",R_0603,2,10kΩ,C25804
"R18, R19",R_0603,2,5.1kΩ,C23186
"R3, R4",R_0603,2,4.7kΩ,C23162
R6,R_0603,1,2kΩ,C22975
R9,R_0603,1,30kΩ,C22984
"S1, S2",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,2,"Tactile Button, 160gf",C318884
U1,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm_ThermalVias,1,DRV8800PWPR,C32579
U2,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,TPS54331DR,C9865
U3,ESP32-S3-WROOM-1U,1,ESP32-S3-WROOM-1,C2980297
